"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"5/8/2019 9:55:25 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,fUDRO3
1,"5/8/2019 9:55:25 AM","-6:00","System","User administration","User administration imported successfully.",,KUgiI1
2,"5/8/2019 9:56:03 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,/ijE7J
3,"5/8/2019 9:56:05 AM","-6:00","admin","User administration","User logged off.",,sxjYDE
4,"5/8/2019 10:00:27 AM","-6:00","System","User administration","User 'supervisor' logged on with group 'Supervisor group'.",,46fVIN
5,"5/8/2019 10:00:29 AM","-6:00","supervisor","User administration","User logged off.",,klmLFY
0,"5/8/2019 10:01:14 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,nSkxlI
0,"5/8/2019 10:01:36 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,F1Iiit
6,"5/8/2019 10:01:36 AM","-6:00","System","Application","Change to operating mode 'online'.",,bQ8zJs
7,"5/8/2019 10:01:36 AM","-6:00","System","User administration","User administration imported successfully.",,lJucx1
8,"5/8/2019 10:02:06 AM","-6:00","System","User administration","User 'supervisor' logged on with group 'Supervisor group'.",,qHcwKj
9,"5/8/2019 10:02:11 AM","-6:00","supervisor","User administration","User logged off.",,7Omohi
0,"5/8/2019 10:02:28 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,L1YIN6
0,"5/8/2019 11:48:20 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,ElYf1s
10,"5/8/2019 11:48:20 AM","-6:00","System","Application","Change to operating mode 'online'.",,K7rNai
11,"5/8/2019 11:48:20 AM","-6:00","System","User administration","User administration imported successfully.",,dUodC0
12,"5/8/2019 11:48:30 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,HZ4v45
0,"5/8/2019 11:48:38 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,JCLFDt
0,"5/11/2019 12:18:32 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,mb+tpW
13,"5/11/2019 12:18:32 PM","-6:00","System","Application","Change to operating mode 'online'.",,6NjXh7
14,"5/11/2019 12:18:32 PM","-6:00","System","User administration","User administration imported successfully.",,aWfcBp
0,"5/11/2019 12:25:57 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,qUQqnC
0,"5/11/2019 12:26:00 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,GMFmya
15,"5/11/2019 12:26:00 PM","-6:00","System","Application","Change to operating mode 'online'.",,4dLIh6
16,"5/11/2019 12:26:00 PM","-6:00","System","User administration","User administration imported successfully.",,xZJh3V
0,"5/11/2019 12:27:12 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,aFNj6R
0,"5/12/2019 8:09:14 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,KKNkc1
17,"5/12/2019 8:09:14 AM","-6:00","System","Application","Change to operating mode 'online'.",,m70zLQ
18,"5/12/2019 8:09:14 AM","-6:00","System","User administration","User administration imported successfully.",,H4YNam
0,"5/12/2019 8:10:13 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,7yEHUk
